Sample_ID	Batch	Scientific_Name	Date_Added
SAMEA2273967	batch1	Serratia sp. 2880STDY5682894	2026-02-08
SAMD00642582	batch1	Methylophilus sp. DW169	2026-02-08
SAMN07418914	batch1	Salmonella enterica subsp. enterica serovar Pensacola	2026-02-08
SAMN05161927	batch1	Staphylococcus sp. AOAB	2026-02-08
SAMN02586088	batch1	Mycobacterium tuberculosis TKK_04_0134	2026-02-08
SAMN00672459	batch1	Propionibacterium sp. KPL2000	2026-02-08
SAMN16088428	batch1	Buttiauxella sp. RHB34-SO-C02	2026-02-08
SAMD00059317	batch1	Roseovarius sp. A-2	2026-02-08
SAMN46853663	batch1	Halomonas sp. SFH0082	2026-02-08
SAMN29006851	batch1	Salmonella sp. LGC298559-0803	2026-02-08
SAMN02567359	batch1	Streptococcus pyogenes ABC020037542	2026-02-08
SAMN02363658	batch1	Bacteroides fragilis str. Korea 419	2026-02-08
SAMD00046518	batch1	Mycolicibacterium chlorophenolicum JCM 7439 = NBRC 15527	2026-02-08
SAMN44298512	batch1	Lelliottia sp. WB101	2026-02-08
SAMN01885778	batch1	Escherichia coli HVH 133 (4-4466519)	2026-02-08
SAMEA5949236	batch1	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	2026-02-08
SAMN41497676	batch1	Nocardia sp. NPDC050712	2026-02-08
SAMN26674923	batch1	Klebsiella sp. LWSS-05/10-20A	2026-02-08
SAMN41641688	batch1	Streptomyces hydrogenans	2026-02-08
SAMN26198431	batch1	bacterium 19CA01SA08	2026-02-08
SAMN02325368	batch1	Staphylococcus aureus M0368	2026-02-08
SAMN14595950	batch1	Pseudonocardia sp. JKS002115	2026-02-08
SAMEA5168324	batch1	Leptospira barantonii	2026-02-08
SAMN02194574	batch1	Pseudomonas mandelii 36MFCvi1.1	2026-02-08
SAMN08778374	batch1	Nitrosomonas ureae	2026-02-08
SAMN02567408	batch1	Streptococcus pyogenes ABC020041424	2026-02-08
SAMD00171901	batch1	Pseudomonas yangonensis	2026-02-08
SAMN26198688	batch1	bacterium 19SC06SA08-2	2026-02-08
SAMN36861941	batch1	Mesorhizobium sp. 19AcRu35.1.1	2026-02-08
SAMN02799643	batch1	Methylobacterium sp. UNCCL125	2026-02-08
SAMN30942389	batch1	Maritimibacter alkaliphilus	2026-02-08
SAMN12308777	batch1	Lactobacillus sp. PMB1482	2026-02-08
SAMN44745281	batch1	Novosphingobium sp. CRBC_G2867	2026-02-08
SAMN08624511	batch1	Campylobacter sp. CFSAN076608	2026-02-08
SAMN09232671	batch1	Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2026-02-08
SAMN46853589	batch1	Halomonas sp. SFH0008	2026-02-08
SAMN27921988	batch1	Paenibacillus sp. MER 78	2026-02-08
SAMN41679418	batch1	Salmonella sp. SKLX201207	2026-02-08
SAMN45137611	batch1	Salmonella sp. C27	2026-02-08
SAMN42882187	batch1	Cellulomonas sp. ICMP 17802	2026-02-08
SAMN04634015	batch1	Enterococcus sp. 3G1_DIV0629	2026-02-08
SAMN05216571	batch1	Onishia taeanensis	2026-02-08
SAMN00839636	batch1	Pseudomonas sp. GM25	2026-02-08
SAMEA5072924	batch1	Micromonospora viridifaciens	2026-02-08
SAMN15148185	batch1	Citrobacter sp. RHB21-C01	2026-02-08
SAMN01920606	batch1	Leptospira interrogans serovar Copenhageni str. Fiocruz LV3992	2026-02-08
SAMEA8942481	batch1	Streptococcus sp. SS18S0505	2026-02-08
SAMN02350613	batch1	Staphylococcus aureus M1446	2026-02-08
SAMN05711875	batch1	Campylobacter sp. 110	2026-02-08
SAMN02403550	batch1	Mycobacterium tuberculosis TB_RSA109	2026-02-08
SAMN02403725	batch1	Staphylococcus aureus DAR3842	2026-02-08
SAMN05216575	batch1	Ectopseudomonas alcaliphila	2026-02-08
SAMN00222980	batch1	Vibrio cholerae HE48	2026-02-08
SAMN08769565	batch1	Porphyromonas loveana	2026-02-08
SAMN00771359	batch1	Bartonella rattimassiliensis 15908	2026-02-08
SAMN00779806	batch1	Enterococcus faecium EnGen0016	2026-02-08
SAMN13012157	batch1	Pseudomonas sp. DTU12.1	2026-02-08
SAMD00557599	batch1	Candidatus Borrelia fainii	2026-02-08
SAMN41498563	batch1	Nocardia sp. NPDC003638	2026-02-08
SAMN04487845	batch1	Methylobacterium sp. yr668	2026-02-08
SAMN41679557	batch1	Salmonella sp. 1206_ZJWZ2020-032	2026-02-08
SAMN02298797	batch1	Lactobacillus crispatus 2029	2026-02-08
SAMN36861809	batch1	Bradyrhizobium sp. 19AcNV335.3.1	2026-02-08
SAMN01906554	batch1	Staphylococcus aureus LVP5	2026-02-08
SAMN05216381	batch1	Phytopseudomonas seleniipraecipitans	2026-02-08
SAMEA8942497	batch1	Streptococcus sp. SS18Z0039	2026-02-08
SAMN34268980	batch1	Campylobacter sp. CF10V3-F10_Camp	2026-02-08
SAMN42325154	batch1	Pseudomonas sp. 05T36	2026-02-08
SAMN12024215	batch1	Rhizobium sp. BK379	2026-02-08
SAMN06265784	batch1	Paraburkholderia susongensis	2026-02-08
SAMN02350508	batch1	Salmonella enterica subsp. enterica serovar Anatum str. CFSAN004010	2026-02-08
SAMN02325824	batch1	Staphylococcus aureus M0932	2026-02-08
SAMN25893958	batch1	Paenibacillus sp. FSL K6-3166	2026-02-08
SAMN02402544	batch1	Staphylococcus aureus M79667	2026-02-08
SAMN38415694	batch1	Salmonella sp. NS021_S16_L001	2026-02-08
SAMN02142028	batch1	Klebsiella pneumoniae UHKPC81	2026-02-08
SAMN02053821	batch1	Mycobacterium tuberculosis TKK-01-0091	2026-02-08
SAMN36861979	batch1	Mesorhizobium sp. 19LCo62.3.1	2026-02-08
SAMN02228510	batch1	Escherichia coli CD306	2026-02-08
SAMN43449973	batch1	Salmonella enterica subsp. houtenae serovar [1],40:z4,z23:-	2026-02-08
SAMN02441449	batch1	Mesorhizobium loti CJ3sym	2026-02-08
SAMN46748408	batch1	Paenibacillus azoreducens	2026-02-08
SAMN26198538	batch1	bacterium 19KS02SH03	2026-02-08
SAMN41496602	batch1	Longispora sp. NPDC051575	2026-02-08
